Account.Id,EVTMembers,FTMembers,PTMembers,TotalMembers
39786,338,0,0,338
46033,0,0,269,269
46878,263,0,1,264
32696,0,250,0,250
45779,0,225,5,230
45700,1,214,0,215
66030,0,81,87,168
14367,60,102,1,163
28449,139,6,9,154
47255,0,49,96,145
45785,0,126,4,130
40779,0,127,0,127
51547,0,121,0,121
38117,0,119,0,119
32649,0,117,0,117
46343,0,105,10,115
40336,0,107,1,108
14531,0,101,0,101
35775,0,98,0,98
60600,0,96,0,96
52481,0,93,0,93
67597,0,92,1,93
35392,0,86,1,87
36500,0,86,1,87
21422,0,86,0,86
27850,0,86,0,86
44812,0,85,0,85
64633,0,85,0,85
45778,0,84,0,84
64362,0,84,0,84
39497,0,83,0,83
35395,0,82,0,82
69225,0,82,0,82
35357,0,81,0,81
45781,0,81,0,81
67798,0,81,0,81
18509,0,80,0,80
38030,0,80,0,80
49587,0,80,0,80
21885,0,79,0,79
46494,0,79,0,79
59193,0,78,0,78
20077,0,43,34,77
20104,0,46,30,76
32752,0,76,0,76
55621,0,76,0,76
35552,0,75,0,75
35902,0,75,0,75
64783,0,61,14,75
44837,0,73,0,73
59692,0,73,0,73
58454,0,72,0,72
27941,0,70,1,71
39188,0,71,0,71
40930,0,71,0,71
36664,0,70,0,70
45783,0,70,0,70
47257,0,1,69,70
20571,0,69,0,69
62203,0,68,0,68
27849,0,67,0,67
31392,0,0,67,67
22530,0,66,0,66
48521,0,66,0,66
27881,0,65,0,65
62270,0,64,0,64
28965,54,7,0,61
60847,0,59,1,60
32808,0,59,0,59
35435,0,58,0,58
58020,0,58,0,58
29016,0,56,1,57
64739,0,56,0,56
38819,0,55,0,55
38913,0,54,0,54
46694,0,54,0,54
35419,0,53,0,53
41814,0,51,0,51
46534,0,50,0,50
58850,0,50,0,50
62804,0,50,0,50
66803,0,48,2,50
67753,0,50,0,50
54166,0,49,0,49
62387,0,49,0,49
64493,0,49,0,49
17099,0,48,0,48
62312,0,47,0,47
15153,0,46,0,46
15273,0,46,0,46
20694,0,46,0,46
28438,0,46,0,46
38144,0,46,0,46
17109,0,45,0,45
18756,0,45,0,45
35393,0,45,0,45
63148,0,45,0,45
38001,0,44,0,44
60623,0,44,0,44
67700,0,44,0,44
38134,0,43,0,43
21448,0,42,0,42
37403,0,42,0,42
50070,0,42,0,42
60025,0,41,1,42
20690,0,41,0,41
32870,0,41,0,41
38123,0,41,0,41
38136,0,41,0,41
39963,0,41,0,41
46344,0,41,0,41
38094,0,40,0,40
41736,0,40,0,40
48913,0,40,0,40
58860,0,40,0,40
59240,0,40,0,40
62268,0,40,0,40
46934,0,39,0,39
27839,0,38,0,38
36414,0,38,0,38
40255,0,38,0,38
45633,0,38,0,38
57943,0,38,0,38
59520,0,38,0,38
17128,0,37,0,37
29319,0,37,0,37
38126,0,37,0,37
66842,0,37,0,37
32860,0,36,0,36
35697,0,36,0,36
40673,0,36,0,36
46687,0,36,0,36
50459,0,36,0,36
62652,0,36,0,36
67796,0,36,0,36
21405,0,35,0,35
35764,0,35,0,35
64740,0,35,0,35
67227,0,35,0,35
67635,0,35,0,35
26065,0,34,0,34
37406,0,34,0,34
50445,0,34,0,34
58014,0,34,0,34
65764,0,34,0,34
15007,0,33,0,33
49442,0,30,3,33
63394,0,33,0,33
20693,0,32,0,32
42898,0,32,0,32
46706,0,32,0,32
46853,0,32,0,32
52842,0,32,0,32
66527,0,32,0,32
17090,0,31,0,31
35746,0,31,0,31
64850,0,20,11,31
17070,0,30,0,30
18780,0,30,0,30
32856,0,30,0,30
41356,0,30,0,30
46933,0,30,0,30
54096,0,30,0,30
67225,0,30,0,30
21648,0,29,0,29
49209,0,27,2,29
53060,0,29,0,29
58124,0,29,0,29
62329,0,29,0,29
67003,0,29,0,29
18733,0,28,0,28
21376,0,28,0,28
28519,0,28,0,28
30750,0,28,0,28
41177,0,28,0,28
48182,0,28,0,28
62354,0,28,0,28
17118,0,27,0,27
22646,0,27,0,27
28396,0,27,0,27
30196,0,23,4,27
35596,0,27,0,27
45701,0,27,0,27
46931,0,27,0,27
59254,0,27,0,27
62037,0,27,0,27
63225,0,27,0,27
64741,0,27,0,27
67240,0,27,0,27
67534,0,27,0,27
14013,0,26,0,26
18744,0,26,0,26
20054,0,26,0,26
32869,0,26,0,26
36612,0,26,0,26
38108,0,26,0,26
38463,0,26,0,26
38910,0,25,1,26
38949,0,26,0,26
60725,0,26,0,26
61842,0,26,0,26
66492,0,26,0,26
17095,0,25,0,25
28951,0,25,0,25
35582,0,25,0,25
36501,0,25,0,25
37405,0,25,0,25
48966,0,25,0,25
49639,0,25,0,25
