Account.Id,FTComplaints,PTComplaints,TotalComplaints
13314,2,0,2
13482,1,0,1
13803,5,0,5
13896,1,0,1
13901,1,0,1
13908,1,0,1
14013,1,0,1
14367,5,0,5
14419,6,0,6
14531,3,0,3
15004,32,0,32
15007,6,0,6
15008,2,0,2
15011,5,0,5
15141,0,1,1
15148,1,0,1
15153,17,0,17
15273,8,0,8
15314,1,0,1
15317,2,0,2
17067,3,0,3
17070,4,0,4
17077,1,0,1
17084,1,0,1
17095,5,0,5
17099,6,0,6
17109,11,0,11
17118,2,0,2
17128,3,0,3
17130,20,0,20
17459,2,0,2
17729,1,0,1
18271,3,0,3
18509,20,0,20
18583,5,0,5
18602,1,0,1
18607,1,0,1
18733,1,0,1
18749,1,0,1
18756,7,0,7
18773,5,0,5
18780,16,0,16
18785,12,0,12
19049,1,0,1
19597,2,0,2
19826,4,0,4
20054,1,0,1
20335,2,0,2
20337,1,0,1
20345,2,0,2
20347,1,0,1
20351,2,0,2
20484,6,0,6
20556,3,0,3
20559,3,0,3
20571,28,0,28
20584,2,0,2
20586,5,0,5
20588,2,1,3
20618,1,0,1
20621,1,0,1
20623,1,0,1
20632,9,0,9
20643,3,0,3
20683,2,0,2
20690,2,0,2
20693,7,0,7
20694,30,0,30
20701,3,0,3
20706,3,0,3
20717,1,0,1
20848,1,0,1
20852,2,0,2
20861,4,0,4
20866,1,0,1
20868,1,0,1
20903,1,0,1
20904,1,0,1
20923,3,0,3
20950,17,0,17
20955,1,0,1
21006,1,0,1
21031,4,0,4
21188,7,0,7
21283,2,0,2
21392,4,0,4
21394,10,0,10
21398,12,0,12
21399,4,0,4
21405,28,0,28
21408,5,1,6
21409,4,0,4
21411,3,0,3
21413,3,0,3
21415,2,0,2
21422,20,0,20
21424,1,0,1
21436,3,0,3
21440,1,0,1
21442,2,0,2
21448,9,0,9
21648,6,0,6
21885,3,0,3
22530,50,0,50
26508,2,0,2
27045,4,0,4
27809,1,0,1
27839,8,0,8
27840,2,0,2
27849,27,0,27
27850,45,0,45
27853,1,0,1
27881,5,0,5
27941,30,0,30
27943,1,0,1
27948,1,0,1
28373,2,0,2
28396,12,0,12
28428,5,0,5
28446,1,0,1
28502,1,0,1
28505,1,0,1
28512,2,0,2
28519,4,0,4
28522,1,0,1
28898,7,0,7
28918,12,0,12
28944,3,0,3
28951,33,0,33
28965,4,0,4
29011,4,0,4
29013,4,0,4
29016,13,0,13
30126,8,0,8
30174,1,0,1
30236,2,0,2
30750,14,0,14
30826,2,0,2
32649,36,0,36
32654,2,0,2
32655,1,4,5
32667,3,0,3
32693,2,0,2
32696,186,0,186
32701,6,0,6
32735,1,0,1
32745,1,0,1
32746,2,0,2
32752,4,0,4
32775,4,0,4
32778,5,0,5
32779,1,0,1
32780,3,0,3
32808,12,0,12
32811,2,0,2
32815,1,0,1
32819,6,0,6
32820,1,0,1
32825,10,0,10
32851,1,0,1
32856,3,0,3
32860,5,0,5
32869,1,0,1
32870,4,0,4
32871,2,0,2
33322,3,0,3
33478,2,0,2
33567,3,0,3
33829,4,0,4
33830,1,0,1
33833,2,0,2
33839,3,0,3
33867,5,0,5
34428,1,0,1
34481,1,0,1
34728,1,0,1
34732,1,0,1
34741,1,0,1
34792,2,0,2
35242,4,0,4
35357,24,0,24
35392,6,0,6
35393,6,0,6
35395,29,0,29
35419,84,0,84
35427,18,0,18
35435,36,0,36
