"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Now married (except separated)!!Estimate","United States!!Now married (except separated)!!Margin of Error","United States!!Widowed!!Estimate","United States!!Widowed!!Margin of Error","United States!!Divorced!!Estimate","United States!!Divorced!!Margin of Error","United States!!Separated!!Estimate","United States!!Separated!!Margin of Error","United States!!Never married!!Estimate","United States!!Never married!!Margin of Error"
"Population 15 years and over","273,938,835","±39,204","48.0%","±0.1","5.5%","±0.1","10.5%","±0.1","1.7%","±0.1","34.3%","±0.1"
"    AGE AND SEX","","","","","","","","","","","",""
"        Males 15 years and over","134,829,992","±33,498","49.8%","±0.1","2.6%","±0.1","9.0%","±0.1","1.4%","±0.1","37.2%","±0.1"
"            15 to 19 years","11,167,522","±29,157","1.0%","±0.1","0.0%","±0.1","0.0%","±0.1","0.1%","±0.1","98.9%","±0.1"
"            20 to 34 years","34,518,927","±31,844","25.7%","±0.2","0.1%","±0.1","2.1%","±0.1","0.7%","±0.1","71.3%","±0.2"
"            35 to 44 years","22,262,365","±21,601","60.0%","±0.2","0.4%","±0.1","8.4%","±0.1","2.0%","±0.1","29.3%","±0.2"
"            45 to 54 years","20,300,592","±21,231","66.0%","±0.2","0.9%","±0.1","13.7%","±0.1","2.3%","±0.1","17.1%","±0.2"
"            55 to 64 years","20,655,942","±13,723","65.9%","±0.2","2.5%","±0.1","16.3%","±0.1","2.0%","±0.1","13.2%","±0.1"
"            65 years and over","25,924,644","±13,171","68.5%","±0.2","10.3%","±0.1","13.1%","±0.1","1.3%","±0.1","6.9%","±0.1"
"        Females 15 years and over","139,108,843","±29,350","46.3%","±0.1","8.3%","±0.1","11.9%","±0.1","1.9%","±0.1","31.6%","±0.1"
"            15 to 19 years","10,618,136","±27,752","1.1%","±0.1","0.0%","±0.1","0.0%","±0.1","0.1%","±0.1","98.7%","±0.1"
"            20 to 34 years","33,160,377","±30,607","32.0%","±0.2","0.2%","±0.1","3.1%","±0.1","1.2%","±0.1","63.5%","±0.2"
"            35 to 44 years","21,785,279","±21,131","61.4%","±0.2","0.8%","±0.1","11.2%","±0.2","3.0%","±0.1","23.6%","±0.2"
"            45 to 54 years","20,175,854","±19,783","63.0%","±0.2","2.4%","±0.1","17.2%","±0.2","3.1%","±0.1","14.3%","±0.1"
"            55 to 64 years","21,471,526","±14,004","60.2%","±0.2","6.8%","±0.1","19.8%","±0.2","2.6%","±0.1","10.6%","±0.1"
"            65 years and over","31,897,671","±15,875","46.1%","±0.2","29.5%","±0.1","16.8%","±0.1","1.2%","±0.1","6.4%","±0.1"
"Population 15 years and over","273,938,835","±39,204","48.0%","±0.1","5.5%","±0.1","10.5%","±0.1","1.7%","±0.1","34.3%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"        One race","243,438,379","±121,573","48.7%","±0.1","5.8%","±0.1","10.6%","±0.1","1.6%","±0.1","33.3%","±0.1"
"            White","172,102,607","±100,753","52.1%","±0.1","6.3%","±0.1","11.2%","±0.1","1.2%","±0.1","29.1%","±0.1"
"            Black or African American","32,648,100","±53,753","30.4%","±0.2","5.2%","±0.1","11.6%","±0.1","3.0%","±0.1","49.8%","±0.2"
"            American Indian and Alaska Native","2,551,221","±35,646","37.3%","±0.6","4.3%","±0.2","10.5%","±0.3","2.5%","±0.2","45.3%","±0.5"
"            Asian","16,596,074","±31,250","58.2%","±0.2","4.4%","±0.1","5.5%","±0.1","1.0%","±0.1","30.9%","±0.2"
"            Native Hawaiian and Other Pacific Islander","522,850","±12,567","43.2%","±1.2","5.3%","±0.6","8.9%","±0.8","2.0%","±0.3","40.6%","±1.1"
"            Some other race","19,017,527","±117,478","42.9%","±0.3","3.1%","±0.1","7.8%","±0.1","2.8%","±0.1","43.4%","±0.3"
"        Two or more races","30,500,456","±129,419","42.4%","±0.2","3.6%","±0.1","9.3%","±0.1","2.2%","±0.1","42.4%","±0.2"
"        Hispanic or Latino origin (of any race)","48,142,717","±17,673","42.7%","±0.2","3.3%","±0.1","8.2%","±0.1","2.6%","±0.1","43.2%","±0.2"
"        White alone, not Hispanic or Latino","164,224,779","±40,802","52.6%","±0.1","6.4%","±0.1","11.4%","±0.1","1.2%","±0.1","28.4%","±0.1"
"LABOR FORCE PARTICIPATION","","","","","","","","","","","",""
"    Males 16 years and over","132,607,016","±41,773","50.6%","±0.1","2.6%","±0.1","9.2%","±0.1","1.4%","±0.1","36.2%","±0.1"
"        In labor force","90,708,771","±76,764","53.2%","±0.1","0.9%","±0.1","8.2%","±0.1","1.4%","±0.1","36.3%","±0.1"
"    Females 16 years and over","136,948,302","±35,991","47.0%","±0.1","8.5%","±0.1","12.1%","±0.1","1.9%","±0.1","30.5%","±0.1"
"        In labor force","80,491,996","±96,727","47.3%","±0.1","2.7%","±0.1","12.3%","±0.1","2.2%","±0.1","35.6%","±0.1"
"SUMMARY INDICATOR","","","","","","","","","","","",""
"    Ratio of Unmarried Men 15 to 44 years per 100 unmarried women 15 to 44 years","111.2","±0.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","","","","","","","",""
"    Marital status","7.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
